SKILLNAME	DESCRIPTION	SHIPNAMES	INJURERATIO	DMGRATIO	BUFFTOCANDAM	BUFFTOTORPDAM	BUFFTOAIRDAM	BUFFTOFIREPOWER	BUFFTOTORPEDO	BUFFTOAVIATION	BUFFTOANTIAIR	DMGTOHMS	DMGTOUSS	DMGTOIJN	DMGTOKMS	DMGTOROC	DMGTOFFNF	DMGTOMNF	DMGTOSIREN	DMGTODD	DMGTOCL	DMGTOCA	DMGTOLC	DMGTOBC	DMGTOBB	DMGTOAB	DMGTOCVL	DMGTOCV	DMGTOSUB	HEBUFF	APBUFF	INITENHANCE	MANUALENHANCE	INJBYCAN	INJBYTORP	INJBYAIR	DMGBYCAN	DMGBYTORP	DMGBYAIR	COMBO	CRITCAN	CRITTORP	CRITAIR	SALVOBONUS
Destroyer Division 6: Ikazuchi	When paired with any of the Destroyers from Destroyer Division 6 (Akatsuki, Hibiki, Ikazuchi, Inazuma): increases own Firepower, Torpedo, and Reload by 5% (15%). This effect does not stack.	Ikazuchi	0	0	0	0	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Destroyer Division 6: Inazuma	When paired with any of the Destroyers from Destroyer Division 6 (Akatsuki, Hibiki, Ikazuchi, Inazuma): increases own Firepower, Torpedo and Reload by 5% (15%). This effect does not stack.	Inazuma	0	0	0	0	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Destroyer of Darkness	When own main battery hit 8 times, increases own Firepower by 1.5% (5%) and Reload by 10% (25%). Can be stacked 3 times. When effect is stacked 3 times, enhances barrage pattern.	Suzuya	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Destruction Mode	Every 20 seconds, 40% (70%) chance to release a powerful barrage and spawn 2 rotating shields that can block 5 enemy shells each while launching a wave of 4 slow homing torpedoes; own main gun's critical rate becomes 100% for 10 seconds.	Z23 (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Destruction Mode - Prototype	Every 20 seconds, 50% (80%) chance to release a powerful barrage, while increasing own critical damage dealt by 30% (50%) and reducing aviation damage taken by the Escort Fleet by 10% (30%) for 10 seconds.	Z1 (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Destructive Departure	When resurfacing: launches a torpedo barrage. If this barrage, or own gun shots hit an enemy ship: 40% (70%) chance to lower the Reload and Accuracy of that enemy by 5% (10%) for 15 seconds.	I-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Devilish Strike	At the start of battle and every 20 seconds after the start of battle, launch special barrage and increase own firepower and torpedo by 9% (24%). Over the 20 seconds the effects of this skill will slowly decrease back to 0%	Z36	0	0	0	0	0	0.24	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Disturbance Strategy	Increases damage dealt to suicide, torpedo, and transport ships by 10% (25%).	Karlsruhe (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Divine Marksman	Every 35 (15) seconds, fires a barrage (damage based on Skill Level) at the furthest target with 100% critical hit chance. Shell type changes to AP at level 6.	Warspite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Divine Marksman Plus	10 seconds after the start of a battle and every 35 (15) seconds after that, fires a barrage (damage based on Skill Level) at the furthest target with 100% critical hit chance. Every battle, increases the damage of the first barrage by 80% (130%). All allied main fleet Royal Navy ships' auto aim will have an increased chance of targeting the ship targeted by this barrage. Shell type changes to AP at Level 6. (Replaces Divine Marksman)	Warspite (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doolittle Airstrike	When launching an airstrike: 30% (60%) chance to launch additional B-25 bombers.	Hornet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doolittle Raid Plus	When launching an airstrike: 50% (80%) chance to launch additional B-25 bombers.	Shangri-La	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Double Gun	When firing main gun: 15% (25%) chance to fire an extra round.	Shropshire, Suffolk, Sussex, Wichita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Double Sting	If sortied with a Royal Navy ship in the Main Fleet, when launching an airstrike: 30% (50%) chance to launch additional Spitfire planes.	Wasp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Double The Gato	Increases own damage dealt to CVs by 5% (20%). When surfacing due to running out of oxygen and when leaving battle: fires a torpedo barrage, damage scales with skill level; If sortied with Albacore, increases this barrage's damage by 5% (15%).	Cavalla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Double Torpedo	When launching a wave of torpedoes: 15% (30%) chance to launch another wave.	Abukuma (Retrofit),Ariake,Atago,Craven,Furutaka (Retrofit),Gridley,Hatsuharu,Hatsushimo,Kagerou,Kako (Retrofit),Kisaragi (Retrofit),Kuroshio,Makinami,Maury,McCall,Oyashio,Shiranui,Takao,Wakaba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dream Story	When launching an airstrike: 70% (100%) chance to launch a barrage that can cause burning, damage scales with skill level.	Tokino Sora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dualism	If the number of Muse ships in the fleet is odd, 10 seconds after launching an airstrike: launches extra dive bombers. If the number of Muse ships in the fleet is even, 10 seconds after launching an airstrike: launches extra torpedo bombers.	Akagi (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eagle Sky	Eagle Union airplanes in use gain 5% (15%) additional Efficiency.	Independence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eagle's Defiance	In each round of combat, the first two airstrikes performed will be accompanied with extra planes	Hiyou, Junyou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Encore Flare	Every 15s after the start of the battle: fires a Lv.1 (Lv.10) Muse barrage that increases DMG taken by 10.0% for 6s to all enemies hit; if only 1 enemy is hit then their Speed is also set to 0 for 3s and this ship fires an additional torpedo barrage (DMG is based on the skill's level).	Roon (Muse)	0	0.1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eskimo, attack!	Every 30s, with a 50% (100%) chance a special barrage gets fired (power and style based on skill level). If own HP falls below 30%, immediately restore 10% of own health and fire special barrage, limited to once per battle.	Eskimo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evening Star	Every 10 seconds, 50% (100%) chance to release a special barrage, and special barrage has chance to ignite (special barrage damage and form depend on skill level).	Nekone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Experienced Hunter	Increases damage dealt to Destroyers, Light Cruisers, and Aircraft Carriers by 1% (10%).	Albacore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Expert Loader	Main gun property is changed to HE. When firing main gun, increases own Reload by 1% (3.5%) (Can be stacked up to 12 times). Additionally, alternates main gun property between HE and AP after every 2 rounds of main gun firing.	Roon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fading Memories of Glory	10 seconds after battle starts: fires a torpedo barrage (damage is based on skill level and Torpedo stat). 5 seconds after the first time own Main Gun is fired during battle: increases own Firepower by 5% (15%), increases own damage dealt to enemy CLs by 10% (20%), and decreases own Torpedo stat to 0 for the rest of the battle.	Giulio Cesare, Conte di Cavour	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fatal Penetration	After entering battle for 8 seconds, fires a wave of penetrating torpedoes. Torpedoes can penetrate once (Can hit up to 2 targets, armor piercing).	I-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fight To Win!	When firing main gun: 30% (50%) chance to launch a frontal barrage (damage is based on skill level).	Kaga (Battleship)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fighting Mary	When own Health drops below 30% (70%), increases own damage dealt by up to 15% (35%), based on remaining Health.	Maryland	0	0.35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Final Glory	Every time the main gun is fired, increases the damage of subsequent main gun attack (includes base main gun mount) by 10% (15%).	Renown	0	0.15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Final Shot	If equipped with the Quadruple 380mm (Mle 1935) gun, main gun critical rate is increased by 10% (30%) and main gun critical damage is increased by 20% (50%).	Jean Bart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
Firepower Overload	Every 20 seconds, 40% (70%) chance to increase own Firepower by 30% (50%) and Reload by 100% (200%) for 10 seconds. After buff duration, decrease own Reload by 100% for 3 seconds.	Z35	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
First Destroyer	10% (30%) to activate upon receiving a torpedo hit/miss: For 4 seconds, decreases Torpedo damage taken by 20% (50%) and increase own Torpedo stat by 20% (50%).	Kamikaze (Retrofit)	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flash of Lighting	When launching torpedoes: 15% (30%) chance to launch a special barrage (damage is based on skill level).	Ibuki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flashing Blade of Surabaya	Every 20 seconds, 30% (70%) to launch a special barrage; also increases own Firepower by 10% (20%) and damage dealt to Cruisers by 10% (20%) for 10 seconds.	Ashigara	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flowers of Fate	15 seconds after the start of a battle and every 20 seconds after that, launch special dive bomber attack (number of planes launched are random). Each dive bomber carry 2x100lb bombs that each do 51 (96) damage and 1x500lb bomb that do 127 (226) damage. 7% chance of launching 5 planes (Five Brights) 12% chance of launching 3 planes (Boar, Deer, Butterfly) 51% chance of launching 2 planes (Moonlight Sake) 30% chance of launching 1 plane (Seeds)	Hiryuu (Retrofit), Souryuu (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Focused Assault	When firing main gun, 15% (30%) chance to inflict double damage.	Choukai, South Dakota, Takao, Oklahoma (Retrofit), Nevada (Retrofit), Chicago, California	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foo and Friends	At the start of the battle, if your Vanguard has no fewer than 3 ships: increases the TRP stat of your Sakura Empire Vanguard ships by 5.0% (15.0%).	Kasumi	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
For the Dragon Empery	Increases damage dealt to Sakura Empire ships by 5% (25%).	Ning Hai, Ping Hai, Yat Sen	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Forward!	When this ship fires its Main Guns: 20% (50%) chance to fire a special barrage (DMG is based on the skill's level.)	Valiant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frontal Fire	20% (50%) activation upon firing main gun: launches a frontal barrage.	Dunkerque	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Full Firepower	Every 20 seconds, 30% (60%) chance to increase own Firepower by 20% (40%) for 10 seconds.	Achilles,Ajax,Aoba,Charles Ausburne,Denver,Exeter,Furutaka,Galatea,Honolulu,Jenkins,Kako,Karlsruhe,Kinugasa,Kiyonami,Kuroshio,Köln,Makinami,Mogami,Nagara,Nicholas,Oyashio,Quincy,Radford,Salt Lake City,Suffolk (Retrofit),Thatcher,Trento,Vincennes,Yuubari,Z25,Grozny	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Future Base	30s, 45s, and 60s after the start of the battle: launches a Lv.1 (Lv.10) special airstrike (damage is based on skill level).	Anniversary Kizuna AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gassing Breath	Every 10 times own Main Gun hits the same enemy: increases own damage dealt to that enemy by 4.5% (12%). Upon destroying an enemy: increases own Firepower by 0.5% (2%); effect can stack up to 10 times.	Le Malin	0.12	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Getter Ravine	Every 20 seconds, 20% (40%) chance to release a powerful barrage (damage depends on skill level) that has a low chance to slow enemies for 8 seconds.	White Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Giant Hunter	Increase own damage against heavy cruisers by 15% (25%).	Ajax (Retrofit), Exeter (Retrofit), Achilles (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glen Assault	When entering battle: launches a Type 0 recon plane (damage scales with Torpedo stat and skill level), and increases Accuracy by 5% (10%) for all ships in the submarine fleet.	I-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grin and Fire!	Decrease this ship's DMG taken by 5% (15.0%). Every 12s after the start of the battle: 50% (100%) chance to fire a special barrage (DMG is based on the skill's level).	Cheshire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heavenly Hymn	Every 20s after the start of the battle: this ship stops moving for 3s and summons a Lv.1 (Lv.10) Iris Angels Airwing to attack (DMG is based on this ship's TRP stat and the skill's level). Additionally, this skill has a 50.0% chance to heal this ship for 3.0% HP when activated.	Le Malin (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heavy Barrel Buster	When firing Main Guns: 50% (80%) chance to fire a special barrage.	Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heavy Cruiser Hunter	Increases damage dealt to Heavy Cruisers by 5% (15%).	Dace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hellcat's Roar	If equipped with Grumman F6F Hellcat: increases Fighter efficiency by 10% (30%); also 45% (75%) chance to launch additional F6F planes when launching an airstrike.	Bataan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herteitr's Rolling Thunder	Every 18s: 45% (75.0%) chance to fire a special barrage (DMG is based on the skill's level). Changes this ship's torpedoes to parallel spread.	Odin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Honey Moon	20 (10) seconds after battle begins, and every 30 (20) seconds after that: activate a special barrage (damage based on skill level).	Fumiruiru	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hope's Tempest	3s after battle starts, launch Saiun recon planes. When launching airstrikes, launch extra Shiden, Ryuusei, and Saiun barrage planes. Saiuns reduce the FP/Torp/AA of a single enemy by 3% and increase their damage taken by 3%, prioritizing elites (humanoids) first, debuff stacking up to 3 stacks max, lasting until end of battle.	Shinano	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ice-free Port's Concerto	During sortie, increases own Torpedo critical hit chance by 10% (30%). Increases own damage dealt to Destroyers by 5% (15%) and Torpedo stat for all Royal Navy Destroyers by 4.5% (12%).	Hardy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Infinite Darkness	Every 20 seconds: 30% (60%) chance to fire a special barrage at enemies (damage based on skill level).	Terror, Erebus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iron Blood Hawk	German aircraft in use (BF-109T, Me-155A, Ju-87C, etc.) will receive an additional 15% (30%) Efficiency.	Graf Zeppelin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iron Blood Vanguard	When firing main gun, 5% chance to increase own Firepower by 30% (60%) for 8 seconds.	Z23	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iron Wing Annihilation	When enemy planes are shot down within her AA radius, increases own Firepower by 5% (15%) of own total AA stat (only base stat and gear is counted) for 8 seconds. If skill is reactivated within the 8 seconds, the buff does not stack and only the duration is refreshed.	Z46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journey's End	Increases torpedo critical rate by 20% (40%), and torpedo critical damage by 50%.	Dorsetshire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
Just Gettin' Fired Up	During a sortie, increases own Firepower by 0.5% (2%) per defeated enemy node, buff only activates if Alabama is in the same fleet; after defeating 5 enemy nodes, reduces damage taken by the Main Fleet by 3.5% (8%). During battle, upon destroying an enemy ship: increases own Firepower by 0.5% (2%), effect can stack up to 8 times.	Alabama	0	0	0	0	0	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kii Fleet Strategy	Every 20s: 45% (75%) chance to fire a special barrage (DMG is based on skill level).	Kii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kitakaze Style - Six Lotus Torpedoes	If placed in the leftmost position in the Vanguard Fleet, 10 seconds after battle starts: launches a torpedo barrage. Whenever own torpedoes hit 10 times (excluding the ones from barrages): launches the same barrage.	Kitakaze	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Knight's Shooting Training	At the start of the battle, if there are 3 ships afloat in your Vanguard and this ship is in the center of it: increase TRP by 5.0% (15.0%) and Torpedo Crit Rate by 4.0% (10.0%) for your DDs and CLs, and also increases the EVA of your DDs by 5.0% (15.0%).	Little Renown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Kolibri Assault	If equipped with the Fl-282, 10 seconds after battle starts and every 30 seconds after that: launches a Fl-282 helicopter. When the helicopter is launched: reveals all enemy submarines and increases damage dealt to them by 5% (15%) for 10 seconds.	Koln (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
La Pucelle	Increase own damage dealt to Royal Navy ships by 4% (10%). Upon entering battle, inflict a special burn on self that lasts for 30 seconds. It has the following properties: The special burn deals 8 damage to this ship every 3 seconds. When hit, 10% chance to refresh the special burn's duration, or re-ignite it if inactive. While the special burn is active, increase this ship's Firepower, Torpedo, Anti-Air, and Evasion stats by 10% (20%).	Jeanne d'Arc	0	0	0	0	0	0.2	0.2		0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lacy Dance	Every 20 seconds: 20% (40%) chance to release a powerful barrage (damage depends on skill level).	Black Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Light Carrier Unit	After launching an airstrike, 40% (70%) chance to release the power of United Fleet: increases own Air Power and all CVLs' Reload by 5% (15%), and decreases damage taken by all CVs/CVLs by 5% (15%) for 8 seconds.	Ryuujou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Light Cruiser Hunter	Increase damage dealt to Light Cruisers by 5% (15%).	U-557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lightning Strikes Twice	10 seconds after battle starts and 15% (25%) chance to activate every 20 seconds after that: fires a wave of torpedoes (These torpedoes are based on the equipped Torpedo Mount).	Kiyonami, Naganami	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lily Root	Every 22 seconds after the start of a battle, fire a special barrage. Every time the barrage is fired, increases the damage of the subsequent barrage. The skill can be activated for maximum 4 times each battle (damage based on skill level).	Rurutie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lod Obstrel	When this ship fires a Salvo: 45.0% (75.0%) chance to fire a special barrage. Barrage DMG is based on the skill's level.	Sovetskaya Rossiya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lone Queen of the North	If sortied without other Battleships/Battlecruisers: increases own damage dealt by 10% (30%). Aviation Battleships do not count.	Tirpitz	0	0.3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Long Live the Revolution!	When this ship fires a Salvo: increases the FP, TRP, AA, and RLD of all your Northern Parliament ships by 8.0% (18.0%) for 10s. While this ship has the Triple 305mm (Pattern 1907) equipped: increases this ship's Main Gun Efficiency by 50.0% (80.0%) and decreases its reload time by 20.0% (35.0%) for the first 4 reloads.	Gangut	0	0	0	0	0	0.18	0.18	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Longbow of Woodstock	If sortied with any Eagle Union ship: increases own Main Gun's critical rate by 20% (40%), and own Firepower and Torpedo stat by 8% (20%).	Black Prince	0	0	0	0	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lucky A	Increases own Evasion by 3 (12), and reduces torpedo damage taken by self by 5% (20%). Every 20 seconds: 45% (75%) chance to fire a barrage, damage scales with skill level.	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lucky E	When launching an airstrike: 40% (70%) chance to deal double damage with that airstrike, and evade all incoming attacks for 8 seconds.	Enterprise	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
