SHIPNAME	FACTION	CLASS	SHIPTYPE	WEP1TYPE	WEP2TYPE	SLOT1EFF	SLOT2EFF	SLOT3EFF	HEALTH	FIREPOWER	TORPEDO	ANTIAIR	SKILL1	SKILL2	SKILL3	SKILL4	SKILL5
Mikasa	IJN	Mikasa	BB	0	2	1.3	1.5	1.5	5372	334	0	172	Reborn Combined Fleet Flagship	T-Cross Formation	NULL	NULL	NULL
Monarch	HMS	Monarch	BB	0	2	1.45	2.1	1.1	7967	423	0	230	Monarch's Coercion	Agaisnt the Current	Siren Killer	NULL	NULL
Mutsu	IJN	Nagato	BB	0	2	1.3	2.1	1	7896	409	0	185	Big Seven: Sakura	NULL	NULL	NULL	NULL
Nagato	IJN	Nagato	BB	0	2	1.35	2.1	1	8117	719	0	182	4th Combined Fleet Flagship	Big Seven: Sakura	NULL	NULL	NULL
Nelson	HMS	Nelson	BB	0	2	1.3	2	1	7654	407	0	219	Big Seven	NULL	NULL	NULL	NULL
Rodney	HMS	Nelson	BB	0	2	1.3	2	1	7630	407	0	219	Big Seven	NULL	NULL	NULL	NULL
Nevada(Retrofit)	USS	Nevada	BB	0	0	1.35	2.15	1	7214	388	0	242	Vice Defense	Focused Assault	NULL	NULL	NULL
Oklahoma(Retrofit)	USS	Nevada	BB	0	0	1.35	2.15	1	7196	388	0	247	Vice Defense	Focused Assault	NULL	NULL	NULL
North Carolina	USS	North Carolina	BB	0	0	1.3	2	1	7852	421	0	100	AA Protection	AA Firepower	NULL	NULL	NULL
Washington	USS	North Carolina	BB	0	0	1.3	2	1	8080	421	0	400	Courageous Shelling	Night of the Iron Bottom Sound	NULL	NULL	NULL
Arizona	USS	Pennsylvania	BB	0	0	1.3	2	1	7137	399	0	219	Eagle's Tears	NULL	NULL	NULL	NULL
Pennsylvania	USS	Pennsylvania	BB	0	0	1.3	2	1	7194	390	0	212	Sister Penn	NULL	NULL	NULL	NULL
Queen Elizabeth	HMS	Queen Elizabeth	BB	0	2	1.3	2	1	7512	403	0	212	Queen's Orders	NULL	NULL	NULL	NULL
Warspite(Retrofit)	HMS	Queen Elizabeth	BB	0	2	1.4	2	1.15	8023	446	0	290	Divine Marksman	Divine Marksman Plus	The Royal Legend	NULL	NULL
Jean Bart	MNF	Richelieu	BB	0	2	1.6	2	0.7	8036	419	0	241	Pirate's Soul	Final Shot	NULL	NULL	NULL
Alabama	USS	South Dakota	BB	0	0	1.3	2	1	7783	407	0	400	Lucky A	Just Gettin' Fired Up	NULL	NULL	NULL
Massachusetts	USS	South Dakota	BB	0	0	1.3	2	1	7783	414	0	400	Big Mamie	2,700 Pounds of Justive	NULL	NULL	NULL
South Dakota	USS	South Dakota	BB	0	0	1.3	2	1	8031	414	0	400	The Strongest Shield	Focused Assault	NULL	NULL	NULL
Sovetskaya	SN	Sovetsky Soyuz	BB	0	2	1.35	2	1	8324	428	0	248	Lod Obstrel	Warcry of Unity	NULL	NULL	NULL
California	USS	Tennessee	BB	0	0	1.3	2	1	7385	391	0	211	Focused Strike	NULL	NULL	NULL	NULL
Tennessee	USS	Tennessee	BB	0	0	1.3	2	1	7385	391	0	211	Coercion	NULL	NULL	NULL	NULL
Kaga(Battleship)	IJN	Tosa	BB	0	2	1.35	2	0.9	8303	423	217	187	Fight to Win!	Conquer to Loot!	NULL	NULL	NULL
Tosa	IJN	Tosa	BB	0	2	1.35	2	0.9	8056	423	217	199	Accomplish Any Feat!	Crush Any Contender!	NULL	NULL	NULL
