SHIPNAME	FACTION	CLASS	SHIPTYPE	WEP1TYPE	WEP2TYPE	SLOT1EFF	SLOT2EFF	SLOT3EFF	HEALTH	FIREPOWER	TORPEDO	ANTIAIR	SKILL1	SKILL2	SKILL3	SKILL4	SKILL5
Wakaba	IJN	Hatsuharu	DD	0	0	0.75	1.5	0.75	1770	59	478	145	Double Torpedo	All Out Assault	NULL	NULL	NULL
Yuugure	IJN	Hatsuharu	DD	0	0	0.75	1.5	0.75	1619	59	478	145	Carrier Escort	Air Raid Assistance	All Out Assault	NULL	NULL
Natsuiro Matsuri	Hololive	Hololive	DD	0	0	0.75	1.25	1.05	1763	70	468	165	The Summer Flower We Watch	The Third Day of Flirting	NULL	NULL	NULL
Shirakami Fubuki	Hololive	Hololive	DD	0	0	0.85	1.5	0.8	1830	76	484	178	Mach 2.42 Blossom	Two-Faced Fox	NULL	NULL	NULL
Icarus	HMS	I	DD	0	0	1.2	1.45	1	1669	79	376	157	All Out Assault, Open Fire!	Torpedo Mode? ...Sure!	All Out Assault I	NULL	NULL
Javelin(Retrofit)	HMS	J	DD	0	0	1.25	1.45	1.05	1746	90	429	160	Javelin Raid	Assault Mode 	All Out Assault	NULL	NULL
Jersey	HMS	J	DD	0	0	1.2	1.4	1.05	1536	76	364	156	Dark Side of Fate	All Out Assault	NULL	NULL	NULL
Juno	HMS	J	DD	0	0	1.2	1.4	1.05	1536	76	364	156	Smokescreen	All Out Assault	NULL	NULL	NULL
Jupiter	HMS	J	DD	0	0	1.2	1.4	1.05	1536	76	364	156	Battleship Escort	All Out Assault	NULL	NULL	NULL
Hamakaze(Retrofit)	IJN	Kagerou	DD	0	0	0.8	1.65	0.75	2143	75	572	150	Rescue Operations	Emergency Maneuvers	All Out Assault	NULL	NULL
Isokaze	IJN	Kagerou	DD	0	0	0.75	1.5	0.75	2083	65	502	149	Accompanying Wind	All Out Assault	NULL	NULL	NULL
Kagerou(Retrofit)	IJN	Kagerou	DD	0	0	0.8	1.55	0.75	2050	75	552	150	Torpedo Command: Vanguard	Double Torpedo	Interference	All Out Assault	NULL
Kuroshio	IJN	Kagerou	DD	0	0	0.75	1.5	0.75	2083	65	512	150	Full Firepower	Double Torpedo	All Out Assault	NULL	NULL
Nowaki	IJN	Kagerou	DD	0	0	0.8	1.55	0.75	2145	65	526	154	Lucky(?) Ship	All Out Assault	NULL	NULL	NULL
Oyashio	IJN	Kagerou	DD	0	0	0.75	1.5	0.75	1736	56	466	150	Full Firepower	Double Torpedo	All Out Assault	NULL	NULL
Shiranui(Retrofit)	IJN	Kagerou	DD	0	0	0.8	1.65	0.75	1908	73	562	145	Double Torpedo	Carrier Escort	All Out Assault	NULL	NULL
Tanikaze(Retrofit)	IJN	Kagerou	DD	0	0	0.8	1.65	0.75	2143	75	572	154	Miracle Wind	Target Designator: Torpedo	All Out Assault	NULL	NULL
Urakaze	IJN	Kagerou	DD	0	0	0.75	1.5	0.75	2083	63	502	149	Rescue Operations	All Out Assault	NULL	NULL	NULL
Yukikaze	IJN	Kagerou	DD	0	0	0.75	1.5	0.75	2226	68	526	161	Yukikaze of Kure	The Unsinkable Lucky Ship	All Out Assault	NULL	NULL
Hatakaze	IJN	Kamikaze	DD	0	0	0.75	1.4	0.75	1561	60	404	139	Swift Defender	All Out Assault	NULL	NULL	NULL
Kamikaze(Retrofit)	IJN	Kamikaze	DD	0	0	0.75	1.45	0.8	1726	60	414	179	Veteran Techniques	First Destroyer	All Out Assault	NULL	NULL
Matsukaze(Retrofit)	IJN	Kamikaze	DD	0	0	0.75	1.45	0.8	1726	59	414	170	Quick Reload	Emergency Maneuvers	All Out Assault	NULL	NULL
Kitakaze	IJN	Kitakaze	DD	0	0	1.05	1.35	1.35	2641	86	393	197	Kitakaze Style - Unanimous Slash	Kitakaze Style - Six Lotus Torpedos	Siren Killer	All Out Assault	NULL
Kizuna AI	KizunaAI	KizunaAI	DD	0	0	0.75	1.6	1.05	1768	74	473	167	Kizuna Beam	Crisis Prevention!	NULL	NULL	NULL
Forbin(Retrofit)	FFNF	L'Adroit	DD	0	0	1.2	1.45	0.8	1436	89	439	168	Chevalier's Bouclier	Emergency Maneuvers	All Out Assault	NULL	NULL
Le Mars(Retrofit)	MNF	L'Adroit	DD	0	0	1.2	1.45	0.8	1436	89	439	183	Chevalier's Sabre	Emergency Maneuvers	All Out Assault	NULL	NULL
Le Malin	MNF	Le Fantasque	DD	0	0	1.5	1.25	1.2	2021	137	273	138	Gassing Breath	Excitatory Poison	All Out Assault	NULL	NULL
Le Triomphant	FFNF	Le Fantasque	DD	0	0	1.4	1.25	1.4	2021	131	267	167	Radiant Iris	Sword or Shield	All Out Assault	NULL	NULL
L'Opiniatre	FFNF	Le Hardi	DD	0	0	1.3	1.35	0.75	1772	103	370	204	A Witch Who Never Admits Defeat	Swift Defender	All Out Assault	NULL	NULL
Le Temeraire	FFNF	Le Hardi	DD	0	0	1.3	1.15	0.75	1571	93	394	172	Bold But Reckless	Swift Defender	All Out Assault	NULL	NULL
Minsk	SN	Leningrad	DD	0	0	1.55	1.1	1	2612	145	228	172	Mobility Mastery	Smokescreen	All Out Assault	NULL	NULL
Matchless	HMS	M	DD	0	0	1.2	1.45	1	1683	76	394	157	Target Designator: Torpedo	Interference	All Out Assault	NULL	NULL
Musketeer	HMS	M	DD	0	0	1.2	1.45	1	1683	76	400	156	Calibrated Firing	All Out Assault	NULL	NULL	NULL
Cassin(Retrofit)	USS	Mahan	DD	0	0	1.25	1.35	1.3	1900	101	293	168	Baptismal Flames	Quick Reload	All Out Assault	NULL	NULL
Downes(Retrofit)	USS	Mahan	DD	0	0	1.25	1.35	1.3	1900	101	293	168	Baptismal Flames	Quick Reload	All Out Assault	NULL	NULL
Fumizuki	IJN	Mutsuki	DD	0	0	0.75	1.45	0.75	1516	60	438	128	Quick Reload	All Out Assault	NULL	NULL	NULL
Kisaragi(Retrofit)	IJN	Mutsuki	DD	0	0	0.75	1.5	0.85	1652	59	462	173	Quick Reload	Double Torpedo	All Out Assault	NULL	NULL
Mikazuki	IJN	Mutsuki	DD	0	0	0.75	1.45	0.75	1487	59	427	138	Quick Reload	All Out Assault	NULL	NULL	NULL
Minazuki	IJN	Mutsuki	DD	0	0	0.75	1.45	0.75	1487	59	427	138	Quick Reload	All Out Assault	NULL	NULL	NULL
Mutsuki(Retrofit)	IJN	Mutsuki	DD	0	0	0.75	1.5	0.8	1652	59	462	173	Quick Reload	Torpedo Command: Destroyers	All Out Assault	NULL	NULL
Nagatsuki	IJN	Mutsuki	DD	0	0	0.75	1.45	0.75	1516	60	438	128	Quick Reload	All Out Assault	NULL	NULL	NULL
Uzuki	IJN	Mutsuki	DD	0	0	0.75	1.45	0.75	1487	59	427	138	Quick Reload	All Out Assault	NULL	NULL	NULL
Blanc	HDN	Neptunia	DD	0	0	0.75	1.5	0.75	1800	70	439	149	Power Break	NULL	NULL	NULL	NULL
White Heart	HDN	Neptunia	DD	0	0	0.8	1.5	0.75	1947	74	476	154	Tanzerin Trombe	Getter Ravine	NULL	NULL	NULL
Kawakaze	IJN	Shiratsuyu	DD	0	0	0.85	1.5	0.85	1830	69	545	161	Lunga Point's Strike	Impartial Destruction	All Out Assault	NULL	NULL
Shigure(Retrofit)	IJN	Shiratsuyu	DD	0	0	0.85	1.65	0.75	1928	85	589	150	Shigure of Sasebo	Dance of Wind and Rain	All Out Assault	NULL	NULL
Shiratsuyu	IJN	Shiratsuyu	DD	0	0	0.75	1.5	0.75	1712	65	509	150	Torpedo Command: Vanguard	All Out Assault	NULL	NULL	NULL
Yuudachi	IJN	Shiratsuyu	DD	0	0	0.85	1.5	0.85	1828	70	545	157	Nightmare of Solomon	All Out Assault	NULL	NULL	NULL
Hammann(Retrofit)	USS	Sims	DD	0	0	1.25	1.3	1.35	2025	96	286	262	Flagship Cover	Anti-Air Mode	All Out Assault	NULL	NULL
Sims(Retrofit)	USS	Sims	DD	0	0	1.25	1.3	1.35	2025	111	286	262	Artillery Command: Destroyers	Smokescreen	All Out Assault	NULL	NULL
Carabiniere	RN	Soldati	DD	0	0	1.6	1.2	0.75	1788	126	267	160	Ricarica!	Fuoco di Copertura!	All Out Assault	NULL	NULL
Tashkent	SN	Tashkent	DD	0	0	1.65	1.25	1.05	2649	180	279	176	The Blue Cruiser	Trajectory Marking	All Out Assault	NULL	NULL
Eskimo	HMS	Tribal	DD	0	0	1	1.35	1	1657	87	350	156	Eskimo, attack!	All Out Assault	NULL	NULL	NULL
Z1	KMS	Type 1934	DD	0	0	1.25	1.4	0.75	2053	65	450	154	Z Vanguard	Destruction Mode - Prototype	All Out Assault	NULL	NULL
Z2	KMS	Type 1934	DD	0	0	1.25	1.4	0.75	2053	84	433	154	Piercing Shells	Morale Boost	All Out Assault	NULL	NULL
Z18	KMS	Type 1936	DD	0	0	1.15	1.4	0.75	2033	68	440	149	Piercing Shells	All Out Assault	NULL	NULL	NULL
Z19	KMS	Type 1936	DD	0	0	1.15	1.4	0.75	2033	68	440	149	Piercing Shells	All Out Assault	NULL	NULL	NULL
Z20	KMS	Type 1936	DD	0	0	1.15	1.4	0.75	1993	65	433	145	Piercing Shells	All Out Assault	NULL	NULL	NULL
Z21	KMS	Type 1936	DD	0	0	1.15	1.4	0.75	1993	65	433	145	Piercing Shells	All Out Assault	NULL	NULL	NULL
Z23(Retrofit)	KMS	Type 1936A	DD	0	0	1.75	1.2	0.85	2290	170	347	215	Iron Blood Vanguard	Destruction Mode	All Out Assault	NULL	NULL
Z25	KMS	Type 1936A	DD	0	0	1.6	1.2	0.75	2116	120	327	154	Full Firepower	Flagship Cover	All Out Assault	NULL	NULL
Z35	KMS	Type 1936B	DD	0	0	1.5	1.2	1.25	2092	80	440	182	Firepower Overload	All Out Assault	NULL	NULL	NULL
Z36	KMS	Type 1936B	DD	0	0	1.45	1.25	1.25	2092	82	437	187	Devilish Strike	All Out Assault	NULL	NULL	NULL
Z46	KMS	Type 1936C	DD	0	0	1.6	1.2	1.4	2595	90	452	255	Iron Wing Annihilation	Piercing Shells	All Out Assault	NULL	NULL
Nekone	Utawarerumono	Utawarerumono	DD	0	0	0.85	1.2	0.65	1941	98	356	210	White Rainbow	Evening Star	NULL	NULL	NULL
Vampire	HMS	V	DD	0	0	1.15	1.45	1.05	1314	71	376	156	Vampire's Kiss	All Out Assault	NULL	NULL	NULL
Tartu	MNF	Vauquelin	DD	0	0	1.4	1.4	0.75	1868	120	273	141	Arbiter of Z	All Out Assault	NULL	NULL	NULL
Vauquelin	MNF	Vauquelin	DD	0	0	1.4	1.4	0.75	1868	113	279	143	Sonnez la Charge!	All Out Assault	NULL	NULL	NULL
Makinami	IJN	Yuugumo	DD	0	0	0.8	1.55	0.75	2157	70	526	156	Full Firepower	Lightning Strikes Twice	All Out Assault	NULL	NULL
Kiyonami	IJN	Yuugumo	DD	0	0	0.75	1.5	0.75	2055	59	497	138	Full Firepower	Double Torpedo	All Out Assault	NULL	NULL
Naganami	IJN	Yuugumo	DD	0	0	0.8	1.55	0.75	2157	65	530	156	Lightning Strikes Twice	Legacy of Lunga Point	All Out Assault	NULL	NULL
